volume_number,year,act_title,act_number,act_id,link
11,1951,"The Citizenship Act, 1951",II,242,http://bdlaws.minlaw.gov.bd/act-print-242.html
11,1952,"THE CHITTAGONG-HILL TRACTS (LAWS) REGULATION, 1952",III,1342,http://bdlaws.minlaw.gov.bd/act-print-1342.html
11,1952,"The Prevention of Transfer of Property and Removal of Documents and Records Act, 1952 (East Bengal Act)",V,243,http://bdlaws.minlaw.gov.bd/act-print-243.html
11,1952,"The Service Tenants (Protection) Act, 1952 (East Bengal Act)",IX,244,http://bdlaws.minlaw.gov.bd/act-print-244.html
11,1952,"The Undesirable Advertisements Control Act, 1952 (East Bengal Act)",XV,245,http://bdlaws.minlaw.gov.bd/act-print-245.html
11,1952,"The Civil Defence Act, 1952",XXXI,246,http://bdlaws.minlaw.gov.bd/act-print-246.html
11,1952,"The Armed Forces Nursing Service Act, 1952",XXXVI,247,http://bdlaws.minlaw.gov.bd/act-print-247.html
11,1952,"The Army Act, 1952",XXXIX,248,http://bdlaws.minlaw.gov.bd/act-print-248.html
11,1952,"The Air Force (Extension of Service) Act, 1952",XLVI,249,http://bdlaws.minlaw.gov.bd/act-print-249.html
11,1952,"The Essential Services (Maintenance) Act, 1952",LIII,250,http://bdlaws.minlaw.gov.bd/act-print-250.html
11,1952,"The Control of Entry Act, 1952",LV,251,http://bdlaws.minlaw.gov.bd/act-print-251.html
11,1952,"The Passport (Offences) Act, 1952",LVI,252,http://bdlaws.minlaw.gov.bd/act-print-252.html
11,1953,"THE CHITTAGONG HILL-TRACTS (PREVENTION OF CORRUPTION) REGULATION, 1953",II,1340,http://bdlaws.minlaw.gov.bd/act-print-1340.html
11,1953,"THE CHITTAGONG HILL-TRACTS (TARIFF AND CUSTOMS) REGULATION, 1952",I,1356,http://bdlaws.minlaw.gov.bd/act-print-1356.html
11,1953,"The Air Force Act, 1953",VI,256,http://bdlaws.minlaw.gov.bd/act-print-256.html
11,1953,"The Town Improvement Act, 1953 (East Bengal Act)",XIII,257,http://bdlaws.minlaw.gov.bd/act-print-257.html
11,1953,"The Taxation Tribunal (Undisclosed Wealth) Act, 1953",XVI,258,http://bdlaws.minlaw.gov.bd/act-print-258.html
11,1953,"The Essential Articles (Price Control and Anti-Hoarding) Act, 1953 (East Bengal Act)",XXII,259,http://bdlaws.minlaw.gov.bd/act-print-259.html
11,1953,"The Junior Cadet Corps Act, 1953",XXXVI,260,http://bdlaws.minlaw.gov.bd/act-print-260.html
11,1953,"The Embankment and Drainage Act, 1952 (East Bengal Act)",I,253,http://bdlaws.minlaw.gov.bd/act-print-253.html
11,1953,"The Building Construction Act, 1952 (East Bengal Act)",II,254,http://bdlaws.minlaw.gov.bd/act-print-254.html
11,1953,"The Dangerous Cargoes Act, 1953",V,255,http://bdlaws.minlaw.gov.bd/act-print-255.html
11,1954,"THE CHITTAGONG HILL-TRACTS (LABOUR LAWS) REGULATION, 1954",II,1357,http://bdlaws.minlaw.gov.bd/act-print-1357.html
11,1954,"The Control of Disorderly and Dangerous Persons (Goondas) Act, 1954 (East Bengal Act)",IV,261,http://bdlaws.minlaw.gov.bd/act-print-261.html
11,1955,"THE CHITTAGONG HILL-TRACTS CINEMATOGRAPH REGULATION, 1954",I,1358,http://bdlaws.minlaw.gov.bd/act-print-1358.html
11,1955,"THE CHITTAGONG HILL-TRACTS CRIMINAL LAW (INDUSTRIAL AREAS) REGULATION, 1955",II,1359,http://bdlaws.minlaw.gov.bd/act-print-1359.html
11,1956,"THE CHITTAGONG HILL-TRACTS (INDUSTRIAL LAWS) REGULATION, 1956",II,1360,http://bdlaws.minlaw.gov.bd/act-print-1360.html
11,1956,"The Control of Essential Commodities Act, 1956 (East Pakistan Act)",I,262,http://bdlaws.minlaw.gov.bd/act-print-262.html
11,1956,"The Commissions of Inquiry Act, 1956",VI,263,http://bdlaws.minlaw.gov.bd/act-print-263.html
11,1956,"The United Nations (Declaration of Death of Missing Persons) Act, 1956",VII,264,http://bdlaws.minlaw.gov.bd/act-print-264.html
11,1956,"The Food (Special Courts) Act, 1956 (East Pakistan Act)  [Repealed]",X,265,http://bdlaws.minlaw.gov.bd/act-print-265.html
11,1956,"The Law of Evidence Amendment Act, 1956 (East Pakistan Act)",XVIII,266,http://bdlaws.minlaw.gov.bd/act-print-266.html
11,1957,"THE CHITTAGONG HILL-TRACTS MOTOR VEHICLES REGULATION, 1957",I,1361,http://bdlaws.minlaw.gov.bd/act-print-1361.html
11,1957,"THE CHITTAGONG HILL TRACTS PETROLEUM REGULATION, 1957",II,1362,http://bdlaws.minlaw.gov.bd/act-print-1362.html
11,1957,"The Essential Commodities Act, 1957",III,267,http://bdlaws.minlaw.gov.bd/act-print-267.html
11,1957,"The Animals Slaughter (Restriction) and Meat Control Act, 1957 (East Pakistan Act)",VIII,268,http://bdlaws.minlaw.gov.bd/act-print-268.html
11,1957,"The Finance Act, 1957 (East Pakistan Act)",X,269,http://bdlaws.minlaw.gov.bd/act-print-269.html
11,1957,"The Cotton Ginning and Pressing Act, 1957 (East Pakistan Act)",XIII,270,http://bdlaws.minlaw.gov.bd/act-print-270.html
11,1957,"The Diplomatic Immunities (Commonwealth Countries Representatives) Act, 1957",XXIX,271,http://bdlaws.minlaw.gov.bd/act-print-271.html
11,1957,"The Cotton Act, 1957",XXXVIII,272,http://bdlaws.minlaw.gov.bd/act-print-272.html
11,1958,"THE CHITTAGONG HILL-TRACTS (LAND ACQUISITION) REGULATION, 1958",I,1363,http://bdlaws.minlaw.gov.bd/act-print-1363.html
