Year,Short Title,Act No,URL
1983,"The Finance Ordinance, 1983",XXVII,http://bdlaws.minlaw.gov.bd/act-print-643.html
1983,"The Bangladesh Irrigation Water Rate Ordinance, 1983",XXXI,http://bdlaws.minlaw.gov.bd/act-print-644.html
1983,"The Bangladesh Unani and Ayurvedic Practitioners Ordinance, 1983",XXXII,http://bdlaws.minlaw.gov.bd/act-print-645.html
1983,"The Marine Fisheries Ordinance, 1983  [Repealed]",XXXV,http://bdlaws.minlaw.gov.bd/act-print-646.html
1983,"The National Archives Ordinance, 1983  [Repealed]",XXXIX,http://bdlaws.minlaw.gov.bd/act-print-647.html
1983,"The Dhaka City Corporation Ordinance, 1983  [Repealed]",XL,http://bdlaws.minlaw.gov.bd/act-print-648.html
1983,"The Bangladesh Homoeopathic Practitioners Ordinance, 1983  [Repealed]",XLI,http://bdlaws.minlaw.gov.bd/act-print-649.html
1983,"The Primary Education (Repeal) Ordinance, 1983",XLV,http://bdlaws.minlaw.gov.bd/act-print-650.html
1983,"The Grameen Bank Ordinance, 1983  [Repealed]",XLVI,http://bdlaws.minlaw.gov.bd/act-print-651.html
1983,"The Local Government (Union Parishads) Ordinance, 1983  [Repealed]",LI,http://bdlaws.minlaw.gov.bd/act-print-652.html
1983,"The Bangladesh Jatiya Jadughar Ordinance, 1983  [Repealed]",LIII,http://bdlaws.minlaw.gov.bd/act-print-653.html
1983,"The Motor Vehicles Ordinance, 1983  [Repealed]",LV,http://bdlaws.minlaw.gov.bd/act-print-654.html
